id,page_no,snli_id,EP,CP,NP,UP,EH,CH,NH,UH
1,1,2947,Two men stand•,,,"in the road, it almost appears to be some sort of movie set on a sunny day in California•",Some people standing•,,,
2,2,880,A brown dog•,over an obstacle•,,jumps•,The dog•,in a pool•,,
3,3,475,A group of people•,in the ocean•,surrounded by seagulls•,in a rowboat•,A group of people•,inside•,watching a hockey game•,
4,4,9380,A man• on an elephant• with a riding seat•,,,sitting• is talking to a female tourist•,A person• riding• a large animal•,,,
5,5,5037,Walkers• under a blue sky•,,on a concrete boardwalk•,,walkers• under a blue sky•,,near the beach•,
6,6,270,A frowning old man in a military cap•,,stands amongst a crowd of people outdoors carrying signs and balloons•,,An angry military veteran•,,watches as people protest the war•,
7,7,5983,Young Asian girl•,sitting• on the ground in rubble•,,,The young girl •,walking• among the tulips•,,
8,8,3137,glasses•,A young man•,,and his companion are attempting to do laundry in a public place•,glasses•,Nobody•,,
9,9,4172,A sitting man• holding• a partially carved stone• in front a partially painted wall•,,,,A man• holding• a stone• in front of a wall•,,,
10,10,3467,A man• working•,on a duct•,,wearing a welding mask•,The man• working•,underneath a vehicle•,,
