CH,CP,EH,EP,NH,NP,UH,UP,id,username
,,Some people<SEP> standing<SEP>,Two men<SEP> stand<SEP>,,,,"in the road, it almost appears to be some sort of movie set on a sunny day in California.<SEP>",1.0,Atharva
The dog <SEP>,A brown dog<SEP>,is in a pool.<SEP>,jumps over an obstacle.<SEP>,,,,,2.0,Atharva
watching a hockey game<SEP>,surrounded by seagulls.<SEP>,A group of people<SEP>,A group of people<SEP>,are inside<SEP>,are in a rowboat<SEP> in the ocean<SEP>,,,3.0,Atharva
,,A person<SEP> large animal.<SEP>,A man<SEP> elephant <SEP>,riding<SEP>,sitting on<SEP>,,with a riding seat is talking to a female tourist.<SEP>,4.0,Atharva
near the beach<SEP>,on a concrete boardwalk <SEP>,walkers <SEP> under a blue sky<SEP>,Walkers <SEP> under a blue sky.<SEP>,,,,,5.0,Atharva
is walking<SEP>,is sitting<SEP>,The young girl <SEP>,Young Asian girl<SEP>,among the tulips.<SEP>,on the ground in rubble.<SEP>,,,7.0,Atharva
,,A man<SEP> is holding<SEP> stone<SEP> in front<SEP> wall.<SEP>,A sitting man<SEP> is holding<SEP> partially carved stone<SEP> in front<SEP> partially painted wall.<SEP>,,,,,9.0,Atharva
,,The man<SEP> working<SEP>,A man<SEP> working<SEP>,underneath a vehicle.<SEP>,on a duct.<SEP>,is<SEP>,wearing a welding mask<SEP>,10.0,Atharva
,,gal in snug<SEP>,,,,,,11.0,Atharva
,,,,,,,,11.0,Atharva
