CH,CP,EH,EP,NH,NP,UH,UP,id,username
is in a pool.<SEP>,jumps over an obstacle<SEP>,The dog <SEP>,A brown dog<SEP>,,,,,2.0,zixuan7
,,Some people<SEP> standing<SEP>,Two men<SEP> stand <SEP>,,,,in the road<SEP> it almost appears to be some sort of movie set on a sunny day in California<SEP>,1.0,zixuan7
in<SEP>,jumps <SEP>,The dog<SEP>,A brown dog<SEP>,pool<SEP>,an obstacle<SEP>,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
,,,,,,,,2.0,zixuan7
a pool.<SEP>,an obstacle.<SEP>,The dog<SEP>,A brown dog<SEP>,,,,,2.0,zixuan7
a pool<SEP>,an obstacle<SEP>,The dog<SEP>,A brown dog<SEP>,,,,,2.0,zixuan7
,,A group of people<SEP>,A group of people<SEP>,,,,in a rowboat<SEP>,3.0,zixuan7
,,,,,,,,3.0,zixuan7
inside <SEP> watching <SEP>,in the ocean<SEP> surrounded <SEP>,,,a hockey game<SEP>,seagulls<SEP>,,,3.0,zixuan7
,,A person<SEP> riding <SEP> a large animal.<SEP>,A man<SEP> sitting <SEP> an elephant<SEP>,,,,,4.0,zixuan7
,,,,,,,,3.0,zixuan7
,,,,,,,,3.0,zixuan7
,,,,,,,,3.0,zixuan7
,,,,,,,,3.0,zixuan7
,,,,,,,,3.0,zixuan7
,,,,,,,,3.0,zixuan7
watching <SEP>,surrounded <SEP>,A group of people<SEP>,A group of people<SEP>,inside <SEP>,in<SEP>,a hockey game<SEP>,a rowboat in the ocean<SEP> seagulls<SEP>,3.0,zixuan7
watching <SEP>,surrounded <SEP>,A group of people<SEP>,A group of people<SEP>,inside <SEP>,in<SEP>,a hockey game<SEP>,a rowboat in the ocean<SEP> seagulls<SEP>,3.0,zixuan7
watching <SEP>,surrounded <SEP>,A group of people<SEP>,A group of people<SEP>,inside <SEP>,in<SEP>,a hockey game<SEP>,a rowboat in the ocean<SEP> seagulls<SEP>,3.0,zixuan7
watching <SEP>,surrounded <SEP>,A group of people<SEP>,A group of people<SEP>,inside <SEP>,in<SEP>,a hockey game<SEP>,a rowboat in the ocean<SEP> seagulls<SEP>,3.0,zixuan7
